Task,Trigger,currentPosX,currentPosY,currentPosZ,pathElapsedX,pathElapsedY,pathElapsedZ,rotX,rotY,rotZ,magnitude
Task1,0,-7.567397,1.413,14.51973,-0.01439714,0.108,-0.0002746582,18.50298,268.905,0,0.1089558,
Task1,0,-7.633771,1.439148,14.51857,-0.0663743,0.02614796,-0.001155853,18.50151,268.9025,9.003055E-07,0.07134844,
Task1,0,-7.742263,1.44229,14.5176,-0.1084919,0.003141999,-0.0009737015,18.50074,268.9012,0,0.1085418,
Task1,0,-7.809743,1.444231,14.51734,-0.06748009,0.001940727,-0.0002527237,18.50054,268.9008,-9.003004E-07,0.06750847,
Task1,0,-7.884899,1.448302,14.51822,-0.07515574,0.004070759,0.0008792877,18.50039,268.9006,0,0.07527103,
Task1,0,-7.966959,1.4536,14.51987,-0.08205938,0.005298615,0.001648903,18.50029,268.9004,-9.002991E-07,0.0822468,
Task1,0,-8.055223,1.459154,14.52182,-0.08826494,0.005553842,0.001947403,18.50022,268.9003,-9.002988E-07,0.08846094,
Task1,0,-8.149067,1.464305,14.52368,-0.09384346,0.005150557,0.001856804,18.50019,268.9002,0,0.09400304,
Task1,0,-8.247962,1.471039,14.5271,-0.09889507,0.006734252,0.003424644,18.50016,268.9002,9.002984E-07,0.09918323,
Task1,0,-8.351429,1.479518,14.53321,-0.103467,0.008479118,0.006108284,18.50013,268.9001,0,0.1039934,
Task1,0,-8.458942,1.48509,14.53826,-0.1075134,0.005572319,0.005055428,18.50012,268.9001,-9.002983E-07,0.1077764,
Task1,0,-8.570137,1.489028,14.54429,-0.1111946,0.00393796,0.006029129,18.50011,268.9001,-9.002982E-07,0.1114276,
Task1,0,-8.684613,1.489947,14.54972,-0.1144762,0.0009183884,0.0054245,18.5001,268.9001,0,0.1146083,
Task1,0,-8.802057,1.487921,14.55521,-0.117444,-0.002025127,0.005491257,18.5001,268.9001,-9.002982E-07,0.1175898,
Task1,0,-8.922189,1.482512,14.56169,-0.1201315,-0.005409241,0.006476402,18.5001,268.9001,0,0.1204275,
Task1,0,-9.044685,1.476217,14.56627,-0.1224966,-0.006295681,0.004583359,18.5001,268.9001,0,0.1227439,
Task1,0,-9.169384,1.465603,14.57291,-0.1246986,-0.0106132,0.006643295,18.50009,268.9001,0,0.1253257,
Task1,0,-9.29598,1.45624,14.57706,-0.1265965,-0.009363532,0.004149437,18.5001,268.9001,0,0.1270101,
Task1,0,-9.424279,1.449635,14.57873,-0.1282988,-0.006604552,0.001666069,18.5001,268.9001,-9.002981E-07,0.1284795,
Task1,0,-9.554146,1.443066,14.57999,-0.1298666,-0.006569505,0.001262665,18.5001,268.9001,9.002981E-07,0.1300388,
Task1,0,-9.68539,1.44,14.57909,-0.1312447,-0.003065944,-0.0009021759,18.50009,268.9001,0,0.1312836,
Task1,0,-9.817848,1.436925,14.57492,-0.1324577,-0.003074646,-0.004166603,18.50009,268.9001,-9.002981E-07,0.1325589,
Task1,0,-9.937029,1.431458,14.56953,-0.1191807,-0.005467057,-0.005390167,18.50009,268.9001,0,0.1194277,
